run,model,dataset,cap,n,median,mean,min,max
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat125-301,1000,100,0.7873,1.4640,0.0661,14.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat150-360,10,101,2.7879,4.3806,0.1605,32.5333
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat150-360,10,101,2.1562,3.6019,0.1494,29.6429
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat150-360,10,101,1.7610,2.5562,0.0767,11.3488
Dec09_12-16-16_d4e65e7af705,gatqsat,flat150-360,50,101,3.4574,5.5337,0.2641,44.3636
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat150-360,50,101,2.0000,3.3152,0.0975,21.0000
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat150-360,50,101,1.4988,2.2866,0.0928,22.1818
Dec09_12-16-16_d4e65e7af705,gatqsat,flat150-360,100,101,3.7282,5.6053,0.2664,44.3636
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat150-360,100,101,1.9714,3.2446,0.1216,21.0000
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat150-360,100,101,1.1333,1.8835,0.0897,22.1818
Dec09_12-16-16_d4e65e7af705,gatqsat,flat150-360,300,101,3.7647,5.6731,0.3557,44.3636
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat150-360,300,101,2.0169,3.2217,0.0985,21.0000
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat150-360,300,101,0.7221,1.6047,0.0674,22.1818
Dec09_12-16-16_d4e65e7af705,gatqsat,flat150-360,500,101,3.7647,5.6830,0.3557,44.3636
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat150-360,500,101,2.0169,3.2236,0.0983,21.0000
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat150-360,500,101,0.6527,1.5249,0.0500,22.1818
Dec09_12-16-16_d4e65e7af705,gatqsat,flat150-360,1000,101,3.7647,5.6830,0.3557,44.3636
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat150-360,1000,101,2.0169,3.2137,0.0906,21.0000
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat150-360,1000,101,0.5725,1.4839,0.0477,22.1818
Dec09_12-16-16_d4e65e7af705,gatqsat,flat175-417,10,100,2.3147,4.6148,0.1230,58.5745
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat175-417,10,100,2.1610,3.6169,0.1440,22.4444
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat175-417,10,100,1.8169,3.3951,0.1811,30.5167
Dec09_12-16-16_d4e65e7af705,gatqsat,flat175-417,50,100,3.1288,6.1620,0.0993,79.9231
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat175-417,50,100,2.0546,3.5071,0.1188,20.7500
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat175-417,50,100,1.5552,2.7209,0.1895,19.8621
Dec09_12-16-16_d4e65e7af705,gatqsat,flat175-417,100,100,3.1582,6.3096,0.1333,79.9231
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat175-417,100,100,2.0298,3.5546,0.1440,21.7976
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat175-417,100,100,1.4029,2.3682,0.1420,19.8621
Dec09_12-16-16_d4e65e7af705,gatqsat,flat175-417,300,100,3.2153,6.4093,0.1075,79.9231
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat175-417,300,100,2.0947,3.4041,0.1533,21.7976
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat175-417,300,100,0.9167,1.8624,0.0966,19.8621
